@relation dmTraining

@attribute deviceType {1,2,3,4,5,6}
@attribute textProbability numeric
@attribute tweetsPerDay numeric
@attribute favoritesPerDay numeric
@attribute tweetRatio numeric
@attribute chiSquaredMin numeric
@attribute chiSquaredSec numeric
@attribute entropyHours numeric
@attribute entropyMin numeric
@attribute entropySec numeric
@attribute accountRep numeric
@attribute urlRatio numeric
@attribute hashtagRatio numeric
@attribute mentionRatio numeric
@attribute retweetRatio numeric
@attribute replyRatio numeric
@attribute mobileDevice numeric
@attribute webDevice numeric
@attribute appDevice numeric
@attribute miscDevice numeric
@attribute botDevice numeric
@attribute otherDevice numeric
@attribute class_attr {0,1}

@data
2,0.01,107.077586,156.25431,0.0625,0.002399,0.658348,0.005087,0.352101,0.928179,0.549303,0.641791,0,5.507463,0.665,0.31,0,0.995,0,0,0.005,0,0
5,1,278.952626,0.001712,0.0625,0.693873,0.852797,0,0.480274,0.961561,0.999952,1,0.005,0.99,0,1,0,0,0,0,1,0,1
1,0.01,3.949383,0.991068,0.0625,0.804605,0.138222,0.185695,0.801849,0.946128,0.45672,0.489011,0.186813,2.225275,0.09,0.69,1,0,0,0,0,0,0
1,0.03,4.652759,3.795424,0.0625,0.861687,0.705554,0.303416,0.895268,0.963828,0.231286,0.105263,0.184211,0.828947,0.62,0.235,0.87,0,0.005,0.005,0,0.12,0
5,0.98,279.042784,0.001711,0.0625,0.693873,0.852797,0,0.480274,0.961561,0.999952,1,0.005,0.99,0,1,0,0,0,0,1,0,1
1,0.01,8.449153,0.279661,0.0625,0.010781,0.705554,0.140869,0.441659,0.941194,0.733333,0.903061,0.933673,0,0.02,0.005,0.015,0.975,0.01,0,0,0,0
1,0.01,3.023256,0.056025,0.0625,0.189165,0.950671,0.22885,0.781036,0.976174,0.487902,0.972973,2.913514,1.010811,0.075,0.005,0.725,0.005,0.27,0,0,0,0
2,0.01,36.223227,33.506259,0.0625,0.102921,0.148457,0.059602,0.639881,0.964223,0.400467,0.216216,0,1.081081,0.815,0.14,0.615,0.385,0,0,0,0,0
3,1,212.698238,0,0.0625,0,0,0,0.134934,0.282507,1,0,0,0,0,0,0,0,1,0,0,0,1
5,0.99,279.939031,0.001709,0.0625,0.693873,0.852797,0,0.480274,0.961561,0.999952,1,0.005,0.99,0,1,0,0,0,0,1,0,1
1,0.01,2.266667,2,0.03375,0.006281,0.241677,0.452099,0.836124,0.938748,0.615385,0.370968,0.016129,0.306452,0.425926,0.166667,0.833333,0,0.166667,0,0,0,0
