@relation dmTraining

@attribute deviceType {1,2,3,4,5,6}
@attribute textProbability numeric
@attribute tweetRatio numeric
@attribute chiSquaredMin numeric
@attribute chiSquaredSec numeric
@attribute entropyHours numeric
@attribute entropyMin numeric
@attribute entropySec numeric
@attribute accountRep numeric
@attribute urlRatio numeric
@attribute hashtagRatio numeric
@attribute mentionRatio numeric
@attribute retweetRatio numeric
@attribute mobileDevice numeric
@attribute webDevice numeric
@attribute appDevice numeric
@attribute miscDevice numeric
@attribute botDevice numeric
@attribute otherDevice numeric
@attribute class_attr {0,1}

@data
1,0,0.99875,0,0.65662,0.375308,0.968918,0.997301,0.985359,0.156103,0.020645,0.279247,0.136108,0.881727,0.115144,0.002816,0,0,0.000313,0
1,0,0.97375,0.129193,0.986583,0.461998,0.915949,0.997695,0.442623,0.493945,0.997431,0.519266,0.125481,0.199615,0.541078,0.165918,0,0,0.093389,0
5,1,1.015313,0.42284,0.103661,0,0.327364,0.989441,0.999951,1,0.000308,0.953832,0,0,0,0,0,1,0,1
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1.007187,0.337866,0.501601,0.110981,0.81012,0.996402,0.621704,0.188767,0.001737,0.620151,0.464164,0.99969,0,0.00031,0,0,0,0
3,0.04,0.452813,0.55787,0.032713,0.661523,0.987773,0.994262,0.315705,0.783982,1.872888,0.216752,0.060732,0.137336,0.15873,0.694272,0,0,0.009662,0
1,0,0.908438,0.478055,0.46551,0.360103,0.860103,0.996781,0.358696,0.140177,0.07064,0.922737,0.065015,0.841417,0.137255,0.016856,0.001032,0,0.00344,0
2,0,0.152188,0.196686,0.249994,0.474001,0.953158,0.983399,0.410876,0.36,0.52,0.890909,0.435318,0.396304,0.404517,0,0.199179,0,0,0
1,0,0.991563,0.653517,0.934894,0.13092,0.74422,0.99714,0.507538,0.171039,0.050892,0.886674,0.399307,0.689883,0.310117,0,0,0,0,0
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
1,0.02,0.400938,0.069935,0.153403,0.567554,0.975743,0.995008,0.521739,0.129472,1.672913,0.574957,0.084957,0.198753,0.786438,0.003897,0,0.010133,0.000779,0
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
5,0.67,1.015313,0.42284,0.103661,0,0.327364,0.989441,0.999951,1,0.000308,0.953832,0,0,0,0,0,1,0,1
3,0.03,0.5125,0.464347,0.212108,0.372282,0.970475,0.994134,0.533333,0.976829,4.295732,0.003049,0,0.02439,0,0.97561,0,0,0,0
1,0.02,1.003437,0.000001,0.819411,0.129826,0.535267,0.974297,0.303371,0.159722,0.184028,0.090278,0.910308,1,0,0,0,0,0,0
1,0,0.978125,0.285359,0.536105,0.32786,0.835998,0.996958,0.457944,0.237712,0.025916,0.099196,0.642492,0.984345,0.003834,0.011821,0,0,0,0
1,0.04925,0.990625,0.013004,0.392094,0.138957,0.664643,0.986217,0.673203,0.439582,0.78968,0.560418,0.517035,0.992744,0.007256,0,0,0,0,0
