@relation metaDMTraining

@attribute textProbability numeric
@attribute deviceType {1,2,3,4,5,6}
@attribute isReply {0,1}
@attribute isRetweet {0,1}
@attribute hashtagDensity numeric
@attribute urlDensity numeric
@attribute mentionDensity numeric
@attribute accountRep numeric
@attribute statusesPerDay numeric
@attribute favoritesPerDay numeric
@attribute class_attr {0,1}

@data
0,2,0,0,0.05,0.05,0,0.476133,294.573305,133.338983,0
0,2,0,0,0,0,0,0.276865,8.702665,4.36489,0
0.23,2,0,0,0,0,0,0.353216,15.247619,3.257143,1
0.01,2,0,0,0,0,0,0.23119,1.604294,0.080631,0
0.01,1,1,0,0,0,0.133333,0.485382,14.790108,8.025365,0
0,1,1,0,0,0,0.25,0.804127,21.792825,4.827185,0
1,3,0,0,0,0,0,1,214.230346,0,1
1,3,0,0,0,0,0,1,212.740639,0,1
0.1,1,0,0,0.190476,0.047619,0,0.908917,4.248143,4.843982,0
0.02,1,0,0,0,0,0,0.21978,0.330486,0.789642,0
1,3,0,0,0,0,0,0.741935,10.596786,0,1
0,1,0,0,0.1,0.2,0.5,0.505095,7.715152,1.467424,0
0.01,1,1,0,0,0,0.052632,0.521726,67.171806,27.553965,0
0,1,0,0,0,0,0,0.406114,4.258404,2.423482,0
0,1,0,0,0.125,0,0,0.27,0.002278,0.021071,0
0.01,1,1,0,0,0,0.333333,0.121483,13.141121,2.665091,0
1,3,0,0,0,0,0,1,213.610011,0,1
1,3,0,0,0.142857,0.071429,0,0.172414,0.316282,0.173267,1
0.03,3,0,0,0.636364,0.090909,0,0.336207,0.606793,0.069889,0
1,5,1,0,0,0.090909,0.090909,0.999945,278.776256,0.001712,1
1,3,0,0,0,0,0,0.741935,10.596485,0,1
0.95,5,1,0,0,0.1,0.1,0.999945,280.359339,0.001708,1
0,1,0,0,0,0,0,0.803296,17.631032,11.732739,0
0.02,1,0,0,0.238095,0.047619,0,0.971027,1.284926,0.745223,0
0.98,5,1,0,0,0.111111,0.111111,0.999945,279.321164,0.001711,1
0,1,0,0,0,0,0,0.608766,6.144625,1.50232,0
0.03,1,0,0,0,0.043478,0.086957,0.488,0.409076,0.05046,0
0.01,1,0,0,0,0,0,0.277955,0.83452,0.052491,0
0.01,1,1,0,0,0,0.090909,0.407935,43.717195,199.192308,0
0,1,0,0,0,0,0,0.698621,17.031995,6.191972,0
0.03,1,1,0,0,0,0.130435,0.328173,4.918649,3.593246,0
0,3,0,0,0,0.1,0.1,0.819625,1.506989,0.083863,0
0.01,1,0,0,0,0,0,0.445192,6.677287,10.694758,0
0.02,2,1,0,0,0,0,0.70144,18.272958,5.671311,0
0,1,1,0,0,0,0.083333,0.271605,0.736041,0.416244,0
0.89,3,0,0,0,0,0,0.789474,10.054626,0.000984,1
1,3,0,0,0,0,0,1,23.230769,0,1
0.13,3,0,0,0.055556,0.055556,0,0.656217,52.112313,1.368329,0
0,1,1,0,0,0,0.333333,0.495434,8.424968,6.556116,0
